Code,Company,Value C,Value D,Value E
HINDCON,Hindcon Chemicals Limited,304759.0,9248.0,32.95345023
GKWLIMITED,GKW Limited,21375.0,711.0,30.04920337
21STCENMGM,21st Century Management Services Limited,110375.0,3879.0,
ALPHAGEO,Alphageo (India) Limited,232755.0,8356.0,27.85261268
UNIENTER,Uniphos Enterprises Limited,162601.0,,21.52800212
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,1301892.0,73134.0,17.80141977
SKMEGGPROD,SKM Egg Products Export (India) Limited,1541130.0,87775.0,
SWELECTES,Swelect Energy Systems Limited,,87776.0,16.93873284
NAHARPOLY,Nahar Poly Films Limited,600043.0,38574.0,15.55529728
PODDARHOUS,Poddar Housing and Development Limited,46040.0,3012.0,15.28383313
LINC,Linc Limited,60551.0,4076.0,14.85367349
SHIVAMILLS,Shiva Mills Limited,142943.0,10391.0,
PDMJEPAPER,Pudumjee Paper Products Limited,1316284.0,102646.0,12.8234253
DSSL,Dynacons Systems & Solutions Limited,263641.0,23439.0,11.2479628
ANDREWYU,Andrew Yule & Company Limited,2448026.0,230048.0,10.64133195
LAXMICOT,Laxmi Cotspin Limited,,,10.44331235
REPL,Rudrabhishek Enterprises Limited,660281.0,6576.0,10.04991362
PILITA,PIL ITALICA LIFESTYLE LIMITED,6864080.0,685602.0,10.01175122
BHAGYAPROP,Bhagyanagar Properties Limited,305594.0,30596.0,
MUNJALAU,Munjal Auto Industries Limited,705322.0,82307.0,8.569318028
ALKALI,Alkali Metals Limited,157496.0,19059.0,8.263313454
INTENTECH,Intense Technologies Limited,1252606.0,164644.0,7.607958577
INDORAMA,Indo Rama Synthetics (India) Limited,679204.0,89288.0,7.606861665
