SYMBOL,SECURITY,TODAY - VOLUME,AVG. VOLUME,CHANGE
ELECTTHERM,Electrotherm (India) Limited,473907,9457,50.11000282
NBIFIN,N. B. I. Industrial Finance Company,5754,154,37.20258621
HINDCON,Hindcon Chemicals Limited,304759,9248,32.95345023
GKWLIMITED,GKW Limited,21375,711,30.04920337
21STCENMGM,21st Century Management Services,110375,3879,28.45083129
ALPHAGEO,Alphageo (India) Limited,232755,8356,27.85261268
UNIENTER,Uniphos Enterprises Limited,162601,7553,21.52800212
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,1301892,73134,17.80141977
SKMEGGPROD,SKM Egg Products Export (India) Ltd,1541130,87775,17.55773284
SWELECTES,Swelect Energy Systems Limited,207954,12276,16.93873284
NAHARPOLY,Nahar Poly Films Limited,600043,38574,15.55529728
PODDARHOUS,Poddar Housing and Development,46040,3012,15.28383313
LINC,Linc Limited,60551,4076,14.85367349
SHIVAMILLS,Shiva Mills Limited,142943,10391,13.7555413
PDMJEPAPER,Pudumjee Paper Products Limited,1316284,102646,12.8234253
DSSL,Dynacons Systems & Solutions Limited,263641,23439,11.2479628
ANDREWYU,Andrew Yule & Company Limited,2448026,230048,10.64133195
LAXMICOT,Laxmi Cotspin Limited,198503,19007,10.44331235
REPL,Rudrabhishek Enterprises Limited,660281,65700,10.04991362
PILITA,PIL ITALICA LIFESTYLE LIMITED,6864080,685602,10.01175122
BHAGYAPROP,Bhagyanagar Properties Limited,305594,30596,9.987765618
MUNJALAU,Munjal Auto Industries Limited,705322,82307,8.569318028
ALKALI,Alkali Metals Limited,157496,19059,8.26331454
INTENTECH,Intense Technologies Limited,1252606,164644,7.607958577
INDORAMA,Indo Rama Synthetics (India) Limited,679204,89288,7.606861665
