NO.,SYMBOL,SECURITY,TODAY - VOLUME,AVG. VOLUME,CHANGE
1,ELECTTHERM,Electrotherm (India) Limited,473907,9457,50.11
2,NBIFIN,N. B. I. Industrial Finance Comp,5754,154,37.20259
3,HINDCON,Hindcon Chemicals Limited,304759,9248,32.95345
4,GKWLIMITED,GKW Limited,21375,711,30.0492
5,21STCENMGM,21st Century Management Serv,110375,3879,31.0492
6,ALPHAGEO,Alphageo (India) Limited,1,8356,27.85261
7,UNIENTER,Uniphos Enterprises Limited,1,8357,21.528
8,JAGSNPHARM,Jagsonpal Pharmaceuticals Lim,1,73134,17.80142
9,SKMEGGPROD,SKM Egg Products Export (India,1,87775,18.80142
10,SWELECTES,Swelect Energy Systems Limite,1,87776,16.93873
11,NAHARPOLY,Nahar Poly Films Limited,1,38574,15.5553
12,PODDARHOUS,Poddar Housing and Developm,1,3012,15.28383
13,LINC,Linc Limited,60551,4076,14.85367
14,LINC123,Linc Limited123,60550,4075,15.85367
